"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Costa Rica","CRI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.21919445","0.357296125","0.661064505","1.048045247","1.91758572","2.156822324","2.463274051","4.040356225","8.656964751","9.060526828","9.568984642","10.22505397","10.76734852","11.52389824","13.04433552","15.031271","16.69754679","17.9241816","19.48767186",
"Caribbean small states","CSS","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.416715323321868","0.987274319502516","1.5451800104039","2.05890296131045","3.09721638360778","3.70906517484085","4.84531277750584","6.26907817695401","6.78508565463482","7.09566318534925","8.86866172759767","9.46773697118365","10.5021829125024","12.4218729664612","13.3691438093376","14.0020765637519","15.7317121873386","16.1636742129959","17.3649185770418",
"Cuba","CUB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.017296053","0.019987593","0.025679832","0.033013143","0.039344393","0.04453188","0.047506262","0.068922492","0.072027883","0.127285996","0.295751378","0.871730745","1.612319884","2.045218095",
"Curacao","CUW","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.87778617","22.98326411","23.59784175","24.40507","25.02392913","26.5212478","30.46229251","31.84968541","32.61271294","",
"Cayman Islands","CYM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.56185452","33.07002639","33.26510446","32.50976191","32.77757047","33.9301208","38.56987904","44.36361869","39.21270917","49.27581963","","","",
"Cyprus","CYP","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.354358611","0.823735463","1.387882141","2.328785812","4.28172043","8.323525531","12.57251417","18.48111432","21.48992797","23.15491784","24.6112529","25.47407322","26.71270396","28.76162928","30.72497937","32.57873187","34.21499653","35.78741866","36.77533784","37.3963964",
"Czech Republic","CZE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.024296913","0.060364085","0.149235374","0.338798117","2.304774705","6.912180314","10.80242448","14.45053834","16.87809213","19.413424","21.46040086","23.7457622","25.11016376","26.97925752","28.27672043","27.79469536","28.91055035","29.56565123","30.21688169","34.98494603","35.50892471",
"Germany","DEU","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.325549298","2.578145904","3.93082137","5.476975994","8.573548443","13.21867362","18.38319724","24.3010917","28.01446411","30.85860573","32.3678342","33.7108193","34.52611171","35.2844895","36.30777257","37.54542249","38.76437445","40.21768674","41.08544014","41.99327095","43.01628467",
"Djibouti","DJI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000557426","0.000682114","0.000803275","","","0.005362245","0.019130012","0.135576218","0.300235926","0.638421498","0.95905965","1.323924589","1.717125292","2.004431146","2.236798914","2.643893334","2.61270977","2.583309589","2.660067597","2.507909117","2.535728745",
"Dominica","DMA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.114860014","0.251216606","3.204605009","3.781740371","4.621920377","4.816614487","6.080488702","7.062645667","9.883236619","10.30331259","11.72578233","11.71385865","11.9777355","15.02055875","15.17197721","21.29581501","21.71876534","21.58330768","16.07539267","","",
"Denmark","DNK","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.254401169","4.441904554","8.399659693","13.33401275","18.83470322","24.78658916","31.87409699","34.80015525","36.48199102","36.6009227","38.02817865","38.38895657","38.84481696","40.3040539","41.34318445","42.27616351","43.09670097","43.81979996","44.0863778","43.94598914","44.39997086",
